Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
B Akhil,2008-2008,1,1,1,27,27*,-,7,385.71,0,0,0,2,3,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
PP Chawla,2008-2024,10,2,0,27,23,13.50,23,117.39,0,0,0,2,2,
"(Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
R Powell,2024-2024,1,1,0,27,27,27.00,15,180.00,0,0,0,3,1,
(Rajasthan Royals),,,,,,,,,,,,,,,
N Wadhera,2023-2025,2,1,0,27,27,27.00,22,122.72,0,0,0,2,1,
"(Mumbai Indians, Punjab Kings)",,,,,,,,,,,,,,,
STR Binny,2011-2017,4,3,0,26,11,8.66,26,100.00,0,0,0,2,1,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
KK Cooper,2013-2013,1,1,0,26,26,26.00,12,216.66,0,0,0,3,1,
