Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 14
Rohit Sharma,2008-2025,266,32,56.3,0,453,15,04-Jun,30.2,8.01,22.6,1,0,
,,,,,,,,,,,,,,
LR Shukla,2008-2014,47,27,52.2,0,447,15,03-Jun,29.8,8.54,20.9,0,0,
,,,,,,,,,,,,,,
JR Hopes,2008-2011,20,20,60,0,548,14,02-Feb,39.14,9.13,25.7,0,0,
,,,,,,,,,,,,,,
R Rampaul,2013-2014,12,12,43.4,4,298,14,Mar-31,21.28,6.82,18.7,0,0,
,,,,,,,,,,,,,,
DR Sams,2020-2022,16,16,60,0,523,14,Apr-30,37.35,8.71,25.7,1,0,
,,,,,,,,,,,,,,
KR Sen,2022-2024,12,12,40.1,0,387,14,Apr-20,27.64,9.63,17.2,1,0,
,,,,,,,,,,,,,,
SJ Srivastava,2010-2011,14,14,47,0,441,14,Feb-20,31.5,9.38,20.1,0,0,
,,,,,,,,,,,,,,
Suyash Sharma,2023-2025,22,22,78,0,651,14,Mar-30,46.5,8.34,33.4,0,0,
,,,,,,,,,,,,,,
AC Thomas,2011-2012,15,15,52.3,2,406,14,Mar-22,29,7.73,22.5,0,0,
,,,,,,,,,,,,,,
CR Brathwaite,2016-2019,16,16,42.2,0,379,13,Mar-47,29.15,8.95,19.5,0,0,
,,,,,,,,,,,,,,
G Coetzee,2024-2024,10,10,33.3,0,341,13,Apr-34,26.23,10.17,15.4,1,0,
,,,,,,,,,,,,,,
TK Curran,2018-2021,13,13,39.4,0,430,13,Mar-29,33.07,10.84,18.3,0,0,
,,,,,,,,,,,,,,
ST Jayasuriya,2008-2010,30,21,49,1,390,13,Mar-14,30,7.95,22.6,0,0,
,,,,,,,,,,,,,,
S Lamichhane,2018-2019,9,9,35,0,292,13,Mar-36,22.46,8.34,16.1,0,0,
,,,,,,,,,,,,,,
CK Langeveldt,2009-2011,7,7,26,0,187,13,Mar-15,14.38,7.19,12,0,0,
,,,,,,,,,,,,,,
Liam Livingstone,2019-2025,46,27,52,0,469,13,Mar-27,36.07,9.01,24,0,0,
,,,,,,,,,,,,,,
RR Powar,2008-2012,27,26,71,0,527,13,02-Nov,40.53,7.42,32.7,0,0,
,,,,,,,,,,,,,,
Vyshak Vijayakumar,2023-2025,12,12,41.3,0,423,13,Mar-20,32.53,10.19,19.1,0,0,
,,,,,,,,,,,,,,
AN Ahmed,2010-2015,17,17,57.2,1,498,12,Feb-13,41.5,8.68,28.6,0,0,
,,,,,,,,,,,,,,
Ankit Sharma,2012-2018,22,21,61.1,0,450,12,Feb-20,37.5,7.35,30.5,0,0,
,,,,,,,,,,,,,,
BA Bhatt,2011-2013,17,15,49.2,0,397,12,Apr-22,33.08,8.04,24.6,1,0,
,,,,,,,,,,,,,,
