Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,venue
Suresh Raina,2010-2015,2,2,0,18,14,9,20,90,0,0,0,1,0,Narendra Modi Stadium
GC Smith,2010-2010,1,1,0,18,18,18,17,105.88,0,0,0,3,0,Narendra Modi Stadium
Ravichandra Ashwin,2015-2024,5,3,1,16,10,8,12,133.33,0,0,0,1,1,Narendra Modi Stadium
R Bhatia,2014-2014,4,3,2,16,6*,16,13,123.07,0,0,0,1,1,Narendra Modi Stadium
KA Jamieson,2021-2021,2,1,1,16,16*,-,11,145.45,0,0,0,1,1,Narendra Modi Stadium
PA Patel,2015-2015,1,1,0,16,16,16,11,145.45,0,0,0,2,0,Narendra Modi Stadium
Romen Powell,2024-2024,1,1,1,16,16*,-,8,200,0,0,0,2,1,Narendra Modi Stadium
Jitesh Sharma,2024-2024,1,1,0,16,16,16,8,200,0,0,0,0,2,Narendra Modi Stadium
Sikandar Raza,2024-2024,1,1,0,15,15,15,16,93.75,0,0,0,0,0,Narendra Modi Stadium
UBT Chand,2014-2015,2,2,0,14,12,7,26,53.84,0,0,0,1,0,Narendra Modi Stadium
R Shukla,2014-2014,1,1,0,14,14,14,12,116.66,0,0,0,2,0,Narendra Modi Stadium
Tim David,2023-2024,3,3,0,13,11,4.33,15,86.66,0,0,1,1,0,Narendra Modi Stadium
Ishan Kishan,2023-2024,3,2,0,13,13,6.5,25,52,0,0,1,1,0,Narendra Modi Stadium
MG Johnson,2015-2015,1,1,1,13,13*,-,7,185.71,0,0,0,1,0,Narendra Modi Stadium
KP Pietersen,2014-2014,1,1,0,13,13,13,18,72.22,0,0,0,1,0,Narendra Modi Stadium
Arjun Tendulkar,2023-2023,1,1,0,13,13,13,9,144.44,0,0,0,0,1,Narendra Modi Stadium
BB McCullum,2015-2015,1,1,0,12,12,12,7,171.42,0,0,0,3,0,Narendra Modi Stadium
Trent Boult,2022-2025,5,2,1,11,11,11,8,137.5,0,0,0,0,1,Narendra Modi Stadium
MC Henriques,2014-2021,2,2,0,11,9,5.5,16,68.75,0,0,0,1,0,Narendra Modi Stadium
M Manhas,2010-2010,1,1,1,11,11*,-,10,110,0,0,0,1,0,Narendra Modi Stadium
Swapnil Singh,2023-2024,3,2,2,11,9*,-,8,137.5,0,0,0,0,1,Narendra Modi Stadium
PK Garg,2023-2023,1,1,0,10,10,10,14,71.42,0,0,0,0,0,Narendra Modi Stadium
VVS Laxman,2010-2010,1,1,0,10,10,10,12,83.33,0,0,0,1,0,Narendra Modi Stadium
R Sharma,2010-2010,1,1,0,10,10,10,5,200,0,0,0,0,1,Narendra Modi Stadium
Nitish Kumar Reddy,2024-2024,1,1,0,9,9,9,10,90,0,0,0,1,0,Narendra Modi Stadium
MD Shanaka,2023-2023,1,1,1,9,9*,-,7,128.57,0,0,0,1,0,Narendra Modi Stadium
DW Steyn,2014-2014,1,1,0,9,9,9,8,112.5,0,0,0,1,0,Narendra Modi Stadium
TL Suman,2010-2010,1,1,0,9,9,9,15,60,0,0,0,0,0,Narendra Modi Stadium
Sumit Kumar,2024-2024,1,1,1,9,9*,-,9,100,0,0,0,2,0,Narendra Modi Stadium
BCJ Cutting,2014-2014,1,1,0,8,8,8,6,133.33,0,0,0,0,1,Narendra Modi Stadium
JP Duminy,2014-2014,1,1,0,8,8,8,8,100,0,0,0,0,1,Narendra Modi Stadium
DS Kulkarni,2014-2015,5,2,1,8,7*,8,8,100,0,0,0,1,0,Narendra Modi Stadium
OC McCoy,2022-2022,2,1,0,8,8,8,5,160,0,0,0,0,1,Narendra Modi Stadium
Rilee Rossouw,2023-2023,1,1,0,8,8,8,6,133.33,0,0,0,2,0,Narendra Modi Stadium
WPUJC Vaas,2010-2010,1,1,0,8,8,8,13,61.53,0,0,0,0,0,Narendra Modi Stadium
Mathew Wade,2022-2024,2,1,0,8,8,8,10,80,0,0,0,0,1,Narendra Modi Stadium
DA Warner,2014-2023,2,2,0,8,6,4,9,88.88,0,0,0,0,0,Narendra Modi Stadium
Kagiso Rabada,2021-2025,6,1,1,7,7*,-,5,140,0,0,0,0,1,Narendra Modi Stadium
Sanvir Singh,2023-2024,2,2,0,7,7,3.5,7,100,0,0,1,0,1,Narendra Modi Stadium
Ben Stokes,2023-2023,1,1,0,7,7,7,6,116.66,0,0,0,1,0,Narendra Modi Stadium
V Viyaskanth,2024-2024,1,1,1,7,7*,-,5,140,0,0,0,0,0,Narendra Modi Stadium
JP Behrendorff,2023-2023,2,2,2,6,3*,-,9,66.66,0,0,0,0,0,Narendra Modi Stadium
N Jagadeesan,2023-2023,1,1,0,6,6,6,8,75,0,0,0,1,0,Narendra Modi Stadium
K Kartikeya,2023-2023,2,1,0,6,6,6,7,85.71,0,0,0,1,0,Narendra Modi Stadium
Ryan Rickelton,2025-2025,1,1,0,6,6,6,9,66.66,0,0,0,1,0,Narendra Modi Stadium
DR Sams,2021-2021,2,2,1,6,3*,6,6,100,0,0,0,0,0,Narendra Modi Stadium
Sandeep Sharma,2015-2025,4,1,1,6,6*,-,5,120,0,0,0,0,0,Narendra Modi Stadium
Washington Sundar,2021-2024,2,2,0,6,6,3,10,60,0,0,1,0,0,Narendra Modi Stadium
Anmolpreet Singh,2023-2023,1,1,0,5,5,5,4,125,0,0,0,1,0,Narendra Modi Stadium
SA Asnodkar,2010-2010,1,1,0,5,5,5,4,125,0,0,0,1,0,Narendra Modi Stadium
Sam Curran,2024-2024,1,1,0,5,5,5,8,62.5,0,0,0,0,0,Narendra Modi Stadium
Ravi Bishnoi,2021-2023,4,2,1,5,4*,5,9,55.55,0,0,0,1,0,Narendra Modi Stadium
Karn Sharma,2014-2024,3,2,0,5,5,2.5,5,100,0,0,1,1,0,Narendra Modi Stadium
PV Tambe,2014-2015,7,2,1,5,3,5,11,45.45,0,0,0,0,0,Narendra Modi Stadium
M Theekshana,2023-2025,2,1,0,5,5,5,13,38.46,0,0,0,0,0,Narendra Modi Stadium
Vishnu Vinod,2023-2023,1,1,0,5,5,5,7,71.42,0,0,0,0,0,Narendra Modi Stadium
Umesh Yadav,2014-2024,6,1,1,5,5*,-,6,83.33,0,0,0,0,0,Narendra Modi Stadium
Ankit Sharma,2014-2015,2,1,0,4,4,4,3,133.33,0,0,0,0,0,Narendra Modi Stadium
Jofra Archer,2025-2025,1,1,0,4,4,4,4,100,0,0,0,0,0,Narendra Modi Stadium
Imran Tahir,2014-2014,1,1,0,4,4,4,6,66.66,0,0,0,1,0,Narendra Modi Stadium
Kuldeep Yadav,2023-2025,3,2,2,4,4*,-,2,200,0,0,0,1,0,Narendra Modi Stadium
MM Patel,2010-2010,2,1,1,4,4*,-,3,133.33,0,0,0,0,0,Narendra Modi Stadium
LRPL Taylor,2014-2014,1,1,0,4,4,4,5,80,0,0,0,0,0,Narendra Modi Stadium
A Uniyal,2010-2010,1,1,1,4,4*,-,6,66.66,0,0,0,0,0,Narendra Modi Stadium
KB Arun Karthik,2010-2010,1,1,1,3,3*,-,5,60,0,0,0,0,0,Narendra Modi Stadium
Tushar Deshpande,2023-2025,4,1,0,3,3,3,3,100,0,0,0,0,0,Narendra Modi Stadium
KM Jadhav,2014-2014,1,1,0,3,3,3,3,100,0,0,0,0,0,Narendra Modi Stadium
Morco Jansen,2023-2025,2,1,0,3,3,3,6,50,0,0,0,0,0,Narendra Modi Stadium
AD Mascarenhas,2010-2010,1,1,0,3,3,3,3,100,0,0,0,0,0,Narendra Modi Stadium
Robin Minz,2025-2025,1,1,0,3,3,3,6,50,0,0,0,0,0,Narendra Modi Stadium
CH Morris,2015-2015,4,1,1,3,3*,-,3,100,0,0,0,0,0,Narendra Modi Stadium
Anrich Nortje,2023-2023,1,1,1,3,3*,-,6,50,0,0,0,0,0,Narendra Modi Stadium
Shardul Thakur,2023-2024,2,2,1,3,3*,3,5,60,0,0,1,0,0,Narendra Modi Stadium
S Kaul,2014-2014,1,1,1,2,2*,-,2,100,0,0,0,0,0,Narendra Modi Stadium
S Narwal,2010-2010,2,1,1,2,2*,-,2,100,0,0,0,0,0,Narendra Modi Stadium
Mohit Sharma,2015-2025,15,2,1,2,2,2,15,13.33,0,0,0,0,0,Narendra Modi Stadium
Mitchell Starc,2015-2025,3,1,1,2,2*,-,2,100,0,0,0,0,0,Narendra Modi Stadium
T Thushara,2010-2010,1,1,1,2,2*,-,3,66.66,0,0,0,0,0,Narendra Modi Stadium
Y Venugopal Rao,2010-2010,1,1,0,2,2,2,5,40,0,0,0,0,0,Narendra Modi Stadium
Arshad Khan,2025-2025,3,2,2,1,1*,-,1,100,0,0,0,0,0,Narendra Modi Stadium
Arshdeep Singh,2021-2025,3,1,1,1,1*,-,1,100,0,0,0,0,0,Narendra Modi Stadium
Jasprit Bumrah,2014-2024,2,1,1,1,1*,-,1,100,0,0,0,0,0,Narendra Modi Stadium
G Coetzee,2024-2024,1,1,0,1,1,1,3,33.33,0,0,0,0,0,Narendra Modi Stadium
Shubam Dubey,2025-2025,1,1,0,1,1,1,3,33.33,0,0,0,0,0,Narendra Modi Stadium
Fazalhaq Farooqi,2023-2025,2,1,1,1,1*,-,5,20,0,0,0,0,0,Narendra Modi Stadium
D Ferreira,2025-2025,1,1,0,1,1,1,3,33.33,0,0,0,0,0,Narendra Modi Stadium
AC Gilchrist,2010-2010,1,1,0,1,1,1,3,33.33,0,0,0,0,0,Narendra Modi Stadium
S Gopal,2014-2015,2,1,1,1,1*,-,1,100,0,0,0,0,0,Narendra Modi Stadium
Josh Hazlewood,2022-2022,1,1,1,1,1*,-,2,50,0,0,0,0,0,Narendra Modi Stadium
Spencer Johnson,2024-2024,2,1,1,1,1*,-,1,100,0,0,0,0,0,Narendra Modi Stadium
Mohammed Shami,2021-2023,13,2,1,1,1*,1,3,33.33,0,0,1,0,0,Narendra Modi Stadium
SZ Mulani,2024-2024,1,1,1,1,1*,-,1,100,0,0,0,0,0,Narendra Modi Stadium
S Nadeem,2014-2014,1,1,0,1,1,1,4,25,0,0,0,0,0,Narendra Modi Stadium
Noor Ahmad,2023-2024,12,2,0,1,1,0.5,8,12.5,0,0,1,0,0,Narendra Modi Stadium
MK Pandey,2014-2023,2,2,0,1,1,0.5,4,25,0,0,1,0,0,Narendra Modi Stadium
Rachin Ravindra,2024-2024,1,1,0,1,1,1,2,50,0,0,0,0,0,Narendra Modi Stadium
KW Richardson,2014-2014,1,1,0,1,1,1,2,50,0,0,0,0,0,Narendra Modi Stadium
Sai Kishore,2022-2025,7,1,0,1,1,1,1,100,0,0,0,0,0,Narendra Modi Stadium
RP Singh,2010-2010,1,1,1,1,1*,-,4,25,0,0,0,0,0,Narendra Modi Stadium
SW Tait,2010-2010,4,1,1,1,1*,-,1,100,0,0,0,0,0,Narendra Modi Stadium
SK Warne,2010-2010,4,2,0,1,1,0.5,2,50,0,0,1,0,0,Narendra Modi Stadium
TM Dilshan,2010-2010,1,1,0,0,0,0,1,0,0,0,1,0,0,Narendra Modi Stadium
PW Hasaranga,2022-2022,1,1,0,0,0,0,1,0,0,0,1,0,0,Narendra Modi Stadium
AS Joseph,2023-2023,4,1,1,0,0*,-,0,-,0,0,0,0,0,Narendra Modi Stadium
AD Mathews,2010-2010,1,1,0,0,0,0,0,-,0,0,1,0,0,Narendra Modi Stadium
RP Meredith,2021-2023,3,1,1,0,0*,-,2,0,0,0,0,0,0,Narendra Modi Stadium
A Mishra,2010-2021,3,1,0,0,0,0,2,0,0,0,1,0,0,Narendra Modi Stadium
Mohammed Siraj,2021-2025,9,1,1,0,0*,-,1,0,0,0,0,0,0,Narendra Modi Stadium
Vipraj Nigam,2025-2025,1,1,0,0,0,0,1,0,0,0,1,0,0,Narendra Modi Stadium
PP Ojha,2010-2014,2,1,1,0,0*,-,0,-,0,0,0,0,0,Narendra Modi Stadium
Krunal Pandya,2023-2023,1,1,0,0,0,0,1,0,0,0,1,0,0,Narendra Modi Stadium
Prasidh Krishna,2021-2025,8,1,1,0,0*,-,0,-,0,0,0,0,0,Narendra Modi Stadium
Phil Salt,2023-2023,1,1,0,0,0,0,1,0,0,0,1,0,0,Narendra Modi Stadium
J Suchith,2015-2015,1,1,1,0,0*,-,1,0,0,0,0,0,0,Narendra Modi Stadium
RN ten Doeschate,2014-2014,1,1,0,0,0,0,1,0,0,0,1,0,0,Narendra Modi Stadium
S Ladda,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
Khaleel Ahmed,2023-2024,2,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
Anureet Singh,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
VG Arora,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
Avesh Khan,2021-2024,5,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
SE Bond,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
YS Chahal,2015-2025,8,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
DL Chahar,2023-2025,3,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
AB Dinda,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
LH Ferguson,2022-2024,3,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
RS Hangargekar,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
Harbhajan Singh,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
Harshit Rana,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
Iqbal Abdulla,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
SB Jakati,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
Joginder Sharma,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
M Kartik,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
Kartik Tyagi,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
SN Khan,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
K Khejroliya,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
JB Little,2023-2023,6,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
MF Maharoof,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
SL Malinga,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
Mandeep Singh,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
A Madhwal,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
Mohsin Khan,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
Mujeeb Ur Rahman,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
Mukesh Kumar,2024-2025,2,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
M Muralidaran,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
DG Nalkande,2024-2024,2,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
DP Nannes,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
T Natarajan,2023-2024,2,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
A Nehra,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
IC Pandey,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
M Pathirana,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
PVSN Raju,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
Ramandeep Singh,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
S Sandeep Warrier,2024-2024,3,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
PJ Sangwan,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
K Santokie,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
I Sharma,2010-2025,8,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
Shivam Mavi,2021-2021,2,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
Shivam Sharma,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
Simarjeet Singh,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
TG Southee,2014-2015,2,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
Suryansh Shedge,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
P Suyal,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
Suyash Sharma,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
AP Tare,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
Yash Thakur,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
SK Trivedi,2010-2010,3,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
JD Unadkat,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
CV Varun,2021-2024,4,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
R Vinay Kumar,2014-2015,2,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
V Vyshak,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
D Wiese,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
L Wood,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
Lalit Yadav,2021-2021,2,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
Yash Dayal,2022-2024,6,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
A Zampa,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,Narendra Modi Stadium
,,,,,,,,,,,,,,,
David Warner,2010-2024,36,36,4,1048,107*,32.75,823,127.33,1,9,2,119,31,Arun Jaitley Stadium
Rishabh Pant,2016-2024,29,29,3,978,128*,37.61,611,160.06,1,6,2,82,58,Arun Jaitley Stadium
V Sehwag,2008-2015,33,33,2,933,95*,30.09,563,165.71,0,7,2,116,38,Arun Jaitley Stadium
Syes Iyer,2015-2019,29,29,3,855,93*,32.88,673,127.04,0,7,2,59,42,Arun Jaitley Stadium
S Dhawan,2008-2023,22,22,3,726,92*,38.21,554,131.04,0,8,1,83,19,Arun Jaitley Stadium
G Gambhir,2008-2018,20,19,1,672,86,37.33,501,134.13,0,6,0,76,11,Arun Jaitley Stadium
Dinesh Karthik,2008-2023,29,25,2,647,69,28.13,477,135.63,0,6,1,58,27,Arun Jaitley Stadium
Axar Patel,2014-2025,26,26,10,570,66,35.62,397,143.57,0,2,0,41,32,Arun Jaitley Stadium
Sanju Samson,2013-2025,21,21,1,544,86,27.2,417,130.45,0,3,2,45,25,Arun Jaitley Stadium
Virat Kohli,2008-2025,11,11,3,534,99,66.75,379,140.89,0,7,0,55,14,Arun Jaitley Stadium
Karun Nair,2014-2025,19,18,1,532,89,31.29,382,139.26,0,4,2,71,11,Arun Jaitley Stadium
Rohit Sharma,2008-2025,16,16,1,454,73,30.26,338,134.31,0,3,0,39,19,Arun Jaitley Stadium
PP Shaw,2018-2024,20,20,0,431,99,21.55,299,144.14,0,2,0,59,11,Arun Jaitley Stadium
JP Duminy,2012-2016,15,13,5,403,78*,50.37,323,124.76,0,1,0,23,16,Arun Jaitley Stadium
DPMD Jayawardene,2008-2013,17,17,3,389,59,27.78,333,116.81,0,3,0,47,6,Arun Jaitley Stadium
Suresh Raina,2008-2021,13,13,4,370,82*,41.11,259,142.85,0,2,0,32,16,Arun Jaitley Stadium
Chris Gayle,2010-2019,7,7,2,367,128*,73.4,219,167.57,1,2,0,29,28,Arun Jaitley Stadium
KP Pietersen,2010-2014,11,11,3,353,103*,44.12,242,145.86,1,1,1,30,21,Arun Jaitley Stadium
Abishek Porel,2023-2025,11,10,0,336,65,33.6,207,162.31,0,2,0,33,15,Arun Jaitley Stadium
Quinton de Kock,2014-2024,12,12,2,312,70*,31.2,246,126.82,0,2,0,36,9,Arun Jaitley Stadium
Ambati Rayudu,2010-2023,12,10,2,309,72*,38.62,197,156.85,0,3,0,25,18,Arun Jaitley Stadium
KM Jadhav,2010-2023,23,19,7,294,33,24.5,241,121.99,0,0,2,21,11,Arun Jaitley Stadium
Ajinkya Rahane,2012-2025,11,9,2,280,84*,40,223,125.56,0,2,1,27,6,Arun Jaitley Stadium
Manish Pandey,2012-2023,14,11,2,278,69*,30.88,220,126.36,0,2,2,23,7,Arun Jaitley Stadium
Kiren Pollard,2010-2021,12,11,5,271,87*,45.16,153,177.12,0,2,0,18,19,Arun Jaitley Stadium
Jos Buttler,2016-2024,5,5,0,253,124,50.6,145,174.48,1,1,0,20,19,Arun Jaitley Stadium
T Stubbs,2024-2025,9,9,4,252,57*,50.4,131,192.36,0,1,0,22,14,Arun Jaitley Stadium
Faf du Plessis,2012-2025,7,6,0,250,62,41.66,181,138.12,0,3,0,25,8,Arun Jaitley Stadium
David Miller,2012-2024,12,12,4,248,55,31,200,124,0,1,0,20,8,Arun Jaitley Stadium
Krunal Pandya,2016-2025,7,7,2,239,73*,47.8,160,149.37,0,1,0,21,10,Arun Jaitley Stadium
NV Ojha,2010-2017,21,20,5,236,34,15.73,207,114,0,0,0,16,14,Arun Jaitley Stadium
DR Smith,2008-2017,7,7,0,235,79,33.57,145,162.06,0,3,0,20,16,Arun Jaitley Stadium
Y Venugopal Rao,2008-2013,12,10,2,235,40,29.37,188,125,0,0,0,26,5,Arun Jaitley Stadium
Yuvraj Singh,2008-2018,11,10,2,232,70*,29,179,129.6,0,1,0,26,9,Arun Jaitley Stadium
Jack Fraser-McGurk,2024-2025,7,7,0,231,84,33,88,262.5,0,3,2,27,18,Arun Jaitley Stadium
MK Tiwary,2008-2017,12,10,5,227,61*,45.4,178,127.52,0,2,1,21,6,Arun Jaitley Stadium
RV Uthappa,2008-2019,10,10,1,227,72,25.22,161,140.99,0,1,0,24,6,Arun Jaitley Stadium
BB McCullum,2011-2017,6,6,0,218,60,36.33,166,131.32,0,2,0,28,5,Arun Jaitley Stadium
Andre Russell,2012-2025,9,7,1,216,62,36,131,164.88,0,1,0,13,19,Arun Jaitley Stadium
PA Patel,2010-2019,10,10,1,207,45,23,159,130.18,0,0,0,30,3,Arun Jaitley Stadium
PD Collingwood,2010-2010,5,5,2,199,75*,66.33,148,134.45,0,3,0,9,13,Arun Jaitley Stadium
Suryakumar Yadav,2014-2025,12,11,0,198,40,18,139,142.44,0,0,1,18,8,Arun Jaitley Stadium
IK Pathan,2008-2014,24,18,7,193,36,17.54,181,106.62,0,0,2,13,7,Arun Jaitley Stadium
Sachin Tendulkar,2008-2013,5,5,1,188,63,47,152,123.68,0,2,0,20,4,Arun Jaitley Stadium
LRPL Taylor,2008-2012,9,9,0,187,55,20.77,146,128.08,0,1,1,12,9,Arun Jaitley Stadium
MS Dhoni,2008-2023,12,9,3,186,44,31,166,112.04,0,0,0,13,5,Arun Jaitley Stadium
MA Agarwal,2012-2023,11,10,1,177,52*,19.66,156,113.46,0,1,0,21,4,Arun Jaitley Stadium
Abhishek Sharma,2018-2024,5,5,2,176,67,58.66,81,217.28,0,1,0,17,12,Arun Jaitley Stadium
Phip Salt,2023-2023,5,5,0,175,87,35,106,165.09,0,2,0,21,6,Arun Jaitley Stadium
CH Morris,2013-2021,15,8,3,170,82*,34,88,193.18,0,1,1,11,13,Arun Jaitley Stadium
Vijay Shankar,2018-2023,10,9,5,170,43*,42.5,136,125,0,0,0,14,5,Arun Jaitley Stadium
R Dravid,2008-2013,5,5,0,169,65,33.8,138,122.46,0,1,0,20,3,Arun Jaitley Stadium
YK Pathan,2008-2019,11,9,3,166,59,27.66,129,128.68,0,1,0,18,5,Arun Jaitley Stadium
Tilak Varma,2023-2025,3,3,0,163,63,54.33,94,173.4,0,2,0,11,11,Arun Jaitley Stadium
Ravindra Jadeja,2008-2023,14,9,6,159,29,53,122,130.32,0,0,0,10,7,Arun Jaitley Stadium
JH Kallis,2008-2014,5,5,1,159,54,39.75,130,122.3,0,2,0,18,2,Arun Jaitley Stadium
Hardik Pandya,2015-2025,10,9,2,159,46,22.71,88,180.68,0,0,1,10,12,Arun Jaitley Stadium
Ruturaj Gaikwad,2021-2023,3,3,0,158,79,52.66,98,161.22,0,2,0,16,7,Arun Jaitley Stadium
Sam Billings,2016-2018,5,5,0,155,55,31,111,139.63,0,2,0,15,4,Arun Jaitley Stadium
Y Nagar,2011-2012,12,10,2,155,27,19.37,119,130.25,0,0,1,12,7,Arun Jaitley Stadium
Kane Williamson,2017-2021,4,4,2,153,83*,76.5,108,141.66,0,1,0,14,4,Arun Jaitley Stadium
MEK Hussey,2013-2013,2,2,2,151,86*,-,108,139.81,0,2,0,16,4,Arun Jaitley Stadium
KL Rahul,2014-2025,8,7,0,141,41,20.14,116,121.55,0,0,0,12,4,Arun Jaitley Stadium
AB de Villiers,2008-2019,9,7,2,139,72*,27.8,90,154.44,0,1,1,9,9,Arun Jaitley Stadium
Murali Vijay,2010-2016,9,9,1,133,35,16.62,113,117.69,0,0,1,12,3,Arun Jaitley Stadium
SE Marsh,2008-2016,5,5,0,128,95,25.6,86,148.83,0,1,0,15,6,Arun Jaitley Stadium
Sai Sudharsan,2023-2024,2,2,1,127,65,127,87,145.97,0,2,0,11,4,Arun Jaitley Stadium
Shane Watson,2008-2019,6,6,2,123,44,30.75,93,132.25,0,0,0,12,6,Arun Jaitley Stadium
CJ Anderson,2017-2017,6,6,3,114,41*,38,80,142.5,0,0,0,7,8,Arun Jaitley Stadium
Mitchell Marsh,2010-2023,6,6,0,111,63,18.5,92,120.65,0,1,0,5,7,Arun Jaitley Stadium
KC Sangakkara,2010-2013,4,4,0,111,49,27.75,100,111,0,0,0,16,1,Arun Jaitley Stadium
DJ Hussey,2010-2013,4,4,1,109,40*,36.33,98,111.22,0,0,0,8,5,Arun Jaitley Stadium
Riyan Parag,2019-2025,5,5,2,108,50,36,97,111.34,0,1,0,7,6,Arun Jaitley Stadium
BJ Hodge,2011-2013,4,4,2,105,54*,52.5,67,156.71,0,1,0,8,6,Arun Jaitley Stadium
SS Tiwary,2010-2016,6,4,1,105,61,35,79,132.91,0,1,0,7,5,Arun Jaitley Stadium
AD Mathews,2010-2017,9,7,2,103,28,20.6,68,151.47,0,0,1,11,3,Arun Jaitley Stadium
Prabhsimran Singh,2023-2023,1,1,0,103,103,103,65,158.46,1,0,0,10,6,Arun Jaitley Stadium
JR Hopes,2008-2011,6,4,1,100,54,33.33,93,107.52,0,1,0,8,2,Arun Jaitley Stadium
Mandeep Singh,2010-2023,7,6,0,100,30,16.66,83,120.48,0,0,1,11,3,Arun Jaitley Stadium
Yashasvi Jaiswal,2021-2025,4,4,0,99,51,24.75,72,137.5,0,1,0,8,6,Arun Jaitley Stadium
WP Saha,2010-2024,7,7,1,99,39,16.5,82,120.73,0,0,0,11,2,Arun Jaitley Stadium
